gene	TAM 1	TAM 2	prol. TAM6	prol. TAM13	DC1	DC2	DC3	DC4	Monocytes	T cells	Regulatory T cells	NK cells	B cells	plasma B cells	Mast cells
Clec4a2	2.365707557	0.406617361	2.610563235	0.451630932	0.085716066	0.210029519	0.093662717	0.038940749	1.433427515	0.060794745	0.071142101	0.04359812	0.248754436	0.094192938	0.242324827
Mmp14	2.069861954	0.609281615	1.902865712	0.579479082	0.21653852	0.330753103	0.08464355	0.180138063	1.828281747	0.013022952	0.046933576	0.010788503	0.17206775	0.06279556	0.124142671
Prdx5	10.12420138	5.791803567	0	5.228444819	3.3285809	5.291888017	1.901080694	5.289336422	22.38047165	2.277657873	2.444929611	2.488730859	2.548110542	1.148234641	2.615294319
Mafb	5.351907381	4.086496525	0	0	0.21092863	0.449346209	0.124333429	0.117541932	5.379259714	0.131659219	0.141001046	0.129682786	0.562854673	0.217187384	0.542784625
AF251705	5.350744414	4.544329199	0	0	0.809332038	1.696194768	0.209197414	1.358506884	4.666933756	0.172433134	0.214660946	0.144544958	0.635570486	0.292239003	0.519421483
C1qb	66.22816707	83.78440738	60.99461222	66.80964959	3.661713698	6.371745677	3.124254054	2.879606169	24.31437956	2.897041959	3.225921955	2.899856106	7.038482421	4.061499142	8.423968915
Clec4n	2.232750439	0.218771624	1.470561562	0.17664659	0.086718729	0	0.152871554	0.08866929	1.427312267	0.054913294	0.067594285	0.059215217	0.208010447	0.088497162	0.288777944
Cd74	170.2572455	33.7321586	126.0817987	26.01426131	194.3475148	236.6899058	0	70.52394078	0	4.089529707	7.164120289	4.165780154	126.4971178	34.32174302	17.26270018
Psap	27.42992196	25.52364451	23.89261605	0	29.29936058	7.650539204	4.657791099	31.9757339	0	2.354729787	2.520966638	2.383401823	5.679188632	2.673439972	4.185370092
Fcgr3	8.273643266	9.180307235	0	0	0.497425144	1.239519596	0.327497902	0.266540059	6.806025477	0.283374735	0.335561821	0.74955286	0.87050017	0.366211325	1.618030257
Ms4a6d	4.50894002	0	3.801334473	2.1238497	0.328309614	2.078233778	0.281401343	0.161518056	10.19139957	0.504942456	0.370150582	0.196996862	0.624184997	0.241845826	0.669661342
Pla2g7	2.112754262	0.41479071	0	0.230805635	0.086850266	0.136187503	0.118688079	0.059316137	3.273950328	0.050651049	0.054921744	0.040153571	0.127529278	0.102324661	0.575214257
Zmynd15	2.775512042	0.290506278	2.187681391	0.31749434	0.531690944	0.892552576	5.634445211	0.135588436	0.508541942	0.071510239	0.077780646	0.089216376	0.190932943	0.12479447	0.137591894
Msrb1	5.14560313	1.732928633	4.30192674	1.395314788	0.941007514	0	1.309775197	0.776856292	10.57953624	0.624166944	0.785415408	0.485722616	0.896106397	0.604040723	0.966250117
Gatm	5.680953753	5.869080642	5.728502718	6.235516925	1.82250471	0.871791762	0.314429387	0.185934135	2.255763433	0.1877411	0.25089402	0.187514398	0.596312581	0.249235351	0.729070119
H2-DMb1	6.83476287	2.233051734	5.849527238	2.033143345	9.112824935	8.082179906	1.104863247	1.741343332	5.99433267	0.227752431	0.27428944	0.276526992	1.506783383	0.451364439	0.942917746
Klra2	1.504426378	0.212793261	1.095285087	0.171913377	0.067877738	0.216733022	0.049844355	0.040149949	2.083536557	0.050483767	0.039514522	0.044796114	0.1543063	0.072769924	0.141607449
H2-Ab1	78.67769997	11.66889147	59.55819157	10.10701918	100.4091674	123.2080861	28.44712876	20.37924508	58.52362613	3.105599045	3.574790798	3.044234532	0	7.928206529	6.777277075
Ccr1	1.943140933	0.151730577	1.38350797	0.174550407	0.083616785	1.866566203	0.072102891	0.113583773	2.625022885	0.068711936	0.079535421	0.040897427	0.45510184	0.108083273	0.295751081
C1qa	72.65171727	112.1472239	63.89083997	78.73821404	3.885309255	6.626436017	3.424081401	2.958871464	21.41800619	3.10583585	3.532319788	3.005897654	7.219882735	4.198962507	8.564927306
Fcer1g	49.1363414	50.69595313	0	0	4.017725469	15.65647469	4.787928446	19.38727356	52.31830555	3.018772016	2.523114416	0	6.30706103	3.598025753	0
Aif1	15.54175666	16.60534776	13.77419718	15.73534856	7.285741954	5.877924816	2.994749543	1.389176016	13.67252071	0.59264184	0.690188838	0.61609599	1.897837474	0.916543094	2.250274418
Pf4	2.767592914	0.31019027	2.654149288	0.321710321	0.109813827	0.138130487	0.104517814	0.087237457	0.465085559	0.09119339	0.084904084	0.099672927	0.199226984	0.105740055	0.252423376
Cybb	5.446965946	0	5.03037757	0	0.337056849	0	0.549789033	7.541552011	6.158969223	0.218401333	0.431711388	0.160605297	0	0.793946475	0.588312621
Npc2	24.70610409	24.80091719	0	0	10.60873851	7.916490374	0	0	32.52065115	4.687767343	7.694573282	3.989581628	4.796698725	3.261232432	6.030564601
Ctsh	11.22584338	10.92455278	0	0	2.843995057	0	0	13.56705874	9.736294048	0.461228803	0.551873548	0.500244786	3.850544641	0.991697462	1.410806125
Lgmn	18.836535	26.88260685	0	23.97720283	1.350183575	2.338409126	3.507941776	1.71938259	0	0.815889268	0.99482162	0.805436441	2.446976057	1.502209498	2.570152948
H2-Eb1	49.78183151	7.934562719	0	6.506836996	64.71385655	90.39377206	0	14.83568131	0	1.671232438	1.980035685	1.626053139	0	4.636366431	4.169475308
Ntpcr	3.134878817	2.444498171	3.117444459	2.54436866	0.325308333	0.674747835	0.250443805	0.451737217	1.145477671	0.297277328	0.288508953	0.274896804	0.499167327	0.212726324	0.496247379
H2-Aa	61.56194812	10.50238861	0	8.523672228	82.98204641	106.7521916	0	26.57340468	0	1.860917191	2.277097641	1.787330954	0	4.580934648	6.038491728
Lgals3	19.06323648	0	0	6.78751086	0	0	3.943784992	2.730457666	23.762637	2.560262458	1.472901433	2.878897188	1.911896556	1.083288186	4.42903379
Fcgr4	4.326850782	4.436653364	0	0	0.241554033	0.696651926	0.142664099	0.163212789	4.187941113	0.131320365	0.186349993	0.133395655	0.514868868	0.220665588	0.465963679
C1qc	54.16301226	86.82460724	51.33214469	67.41228563	3.103271803	5.081204708	2.609840101	2.425206674	15.60711862	2.448133915	2.762228346	2.456293479	5.917822931	3.236231442	8.026352524
Ptprcap	0.107132154	0.119861677	0.136914843	0.163007857	0.333521691	0.334222006	0.218037717	5.771033156	0.130184875	7.530527846	12.06112559	7.525809764	5.197701577	1.426826664	0
Dab2	2.327812149	1.595635016	2.411669603	0	0.125493081	0	0.149951884	0.068135829	0	0.054414472	0.082660245	0.058227169	0.250262299	0.076923769	0.31951
Itm2b	34.06043398	47.49055763	0	35.06421065	9.085060709	10.77214962	8.985558811	16.01600861	0	9.01860585	11.89283199	8.842791353	7.51577565	6.819788857	0
C3ar1	3.594899323	4.514930265	0	3.19650863	0.157890415	0.256054429	0.140587742	0.137853117	3.265429343	0.114870267	0.131327088	0.109711427	0.402280978	0.161839423	0.661552752
Apobec1	1.685307589	0	1.623658011	0	0.065406644	0.305124478	0.258738527	0.389996951	1.641145246	0.118283569	0.129087825	0.153037702	0.377796602	0.136828365	0.178948752
Sepp1	3.636307931	4.275031692	0	2.963405107	0.19458915	0.440705667	0.170591569	0.213541333	1.64206152	0.373421469	0.485922193	0.375110475	0.469274794	0.242307683	0.54675105
Cyba	21.62866238	21.58077035	0	0	10.03665128	10.3437857	0	0	26.28808398	6.549374169	10.76926967	7.972669271	9.146353363	4.062236307	8.299747675
Msr1	1.792787209	0	1.79510849	0.640651725	0.093878952	0.122105651	0.082271255	0.070059582	2.079716931	0.05391498	0.070806803	0.062566142	0.180682566	0.092930266	0.180366125
Ctsz	20.75672921	32.16695842	0	26.21136573	4.428575064	8.697472043	10.59432532	8.620151803	0	1.538424932	3.394143438	1.507446726	4.526341544	2.792649927	4.126724247
Gngt2	4.598135634	0	0	0	1.446243419	0	0	0	5.646613713	0.725388427	0.515982107	0.561812071	1.973412085	0.325264403	4.625809796
Sat1	10.94208996	11.78573319	0	10.02599868	2.570279223	4.982972043	3.78439132	1.789149372	11.6846015	1.502694339	2.538268854	1.485287843	2.863952594	0.842119418	3.517539477
Tmsb10	7.866418043	5.443762897	9.299882183	7.014266235	56.94916712	30.03086546	0	5.814848031	0	50.31603452	44.32589335	63.34855445	0	5.620324329	10.83248856
Anxa5	4.149366888	0	3.813947738	2.070117009	0	0	3.79469597	0.972340533	4.053228327	0.777827207	1.033375167	0.622382938	0.597507626	0.482803508	1.654575278
Blvrb	1.821218788	0	1.612934805	0	0.177902768	0.312474053	0.247337936	0	1.388724289	0.114656103	0.136325738	0.158711215	0	0.180947826	0
Lair1	3.860078397	4.152631415	3.299040748	3.519641175	0.221436441	0.876096884	0.254531249	9.253667311	0	0.17448932	0.170926809	0.197981787	0.583046575	0.220467691	0.886238016
Adgre1	1.99891208	2.433137001	1.698937449	1.877402684	0.142284375	0.14086431	0.083851039	0.076453827	0	0.088459176	0.087049595	0.080565847	0.210484158	0.089475242	0.39586088
Ltb	0.097515592	0.095465963	0.138201731	0.129972172	0.188435543	0	0.518633588	0	0.174780546	6.591319076	8.072530779	3.798143666	7.601659579	0.421541834	0.756006389
Slamf9	2.618649455	2.303189493	2.478595618	2.114278274	0.803637843	0	0.134208673	0	0	0.086194466	0.121942558	0.083254207	0.362672883	0.272052594	0.300141027
Ms4a4c	6.553557468	1.490520277	0	1.559601385	0.964196495	9.197045827	1.950624849	0.776620925	20.60213556	1.667721336	0.585316516	1.206450126	2.806497182	0.391579839	0.814413643
Bcl2a1b	11.19914472	0	0	0	4.094659499	0	30.42127052	0.550997971	0	3.23406536	4.200905346	1.510579037	2.954545099	0.604973325	1.443103642
Bst2	17.68326569	0	0	0	5.821867531	9.996008031	6.026162591	36.54479319	0	6.373248198	7.768510125	4.689811633	4.537487571	8.24398858	5.757457412
Unc93b1	4.686810323	4.646399466	0	0	0	0	0.923261111	5.813873735	4.561130489	0.365635386	0.305204044	0.418215077	0	0.756055127	0.662514155
Gimap1	0.031931459	0.095731145	0.040604802	0.100437168	0.074446696	0.128795869	0.101558986	0.585391278	0.046687706	2.930130909	3.636811684	2.969361413	2.607380033	0	0
Cd72	5.773015874	6.762698506	5.262199841	5.455573006	0.461930003	0	0.355972478	0.884319503	2.417371234	0.347238674	0.415843742	0.644313441	2.437439243	0.311364132	0.844299408
Rpl13a	39.70028809	0	38.17778006	0	0	0	36.44443811	0	31.1512731	97.51050104	0	83.32346145	92.29633693	31.41942542	0
Camk1	2.550823825	3.169893526	2.20544543	2.406173043	0.210959039	0.495793685	0.178407315	0.126240707	1.110172105	0.104027268	0.129029151	0.187896438	0.286776351	0.126157731	2.265679261
Wfdc17	4.533013452	1.805550863	0	0.873458251	0.899523631	3.770732072	0.637065899	0.344353634	9.267908199	0.192287572	0.236465387	0.214410963	0.479187092	0.251749935	0.620154396
1-Sep	0.033801427	0.041706249	0.051510599	0.061761355	0.307983659	0.2844175	0.127751308	1.972673258	0.040746732	2.866447983	3.066204945	3.320282943	1.378906996	0.515034328	0.354713792
Lsp1	0.634949933	0.743511738	0.517901865	0.563982952	6.540974647	7.535626336	24.8154903	6.745381353	0	4.596027603	3.951891721	0	0	0.811853685	0.578263591
Fcgr1	4.585505835	4.453076596	4.185211823	0	0.55691356	2.292976141	0.281982432	0.244877294	8.594189817	0.140467582	0.173612397	0.146342971	0.593597156	0.253334458	0.573838482
Scimp	2.471553585	0	2.121661623	1.07187206	0.920420053	2.823766374	0.357353423	3.18286129	2.511716539	0.097685941	0.091375537	0.479372649	0.585680658	0.145774822	0.392156561
Tpd52	2.531838289	0	2.179618004	0	0.846862427	0.928121453	0.481799141	0	3.220302317	0.205490232	0.237942799	0.346404621	0.770232445	0.253490249	0.42438665
Gimap4	0.08464513	0.097667418	0.111741208	0.124883054	0.149714807	0.154954285	0.147958421	0.208081744	0.108768171	5.288704789	7.915973781	6.012584139	4.182922061	0.65057813	0.495384822
H2-DMa	7.2582945	0	0	0	10.0138958	11.82694959	1.919443656	0	0	0.644327277	0.854876871	0.605207658	0	0.635556237	1.018801653
Lck	0.056828541	0.063602436	0.071480802	0.110899732	0.142981734	0.11344501	0.109642344	0.291871139	0.074979877	5.002622723	5.001839847	3.088495106	0.465302502	0.174901093	0.332597568
Pld4	5.1649939	5.624328553	0	4.821582968	2.506945141	2.787091369	0.559738816	14.04113475	0	0.229632142	0.271685228	0.236428637	1.451224431	0.464357129	0.687800866
Stab1	1.319192881	1.007071026	1.03548469	0	0.090167803	0.149533301	0.053292287	0.048303629	0	0.061151529	0.183085133	0.056367878	0.111576382	0.078955836	0.16067667
Trem2	6.321973563	13.1664683	0	9.816932459	0.443818589	0.623339214	0.375615368	0.323169226	3.430182345	0.3709499	0.391414549	0.365656011	0.804951125	0.462583349	1.066480386
Clec4a3	1.386819379	0	0	0.440312604	0.051798369	0.172909141	0.039141349	0.035399055	2.379141988	0.032849983	0.055174033	0.031068035	0.193360231	0.064923209	0.127716107
Mt1	6.738137353	0	6.063628502	0	1.232037198	2.371878884	1.873263098	0.319031244	2.225017237	0.617206436	0	0.39254451	0.829979267	1.568586512	10.83370694
App	1.62668054	1.528304103	1.595800677	0	0.197002166	0.76378731	0.49493241	0.15745203	1.402766969	0.060134423	0.069115233	0.057482547	0.214350275	0.091281915	0.207365257
Plbd1	1.769889847	0.143005619	0	0.165909849	6.682205713	3.023543281	0.353644708	0.30062866	2.08413951	0.06330196	0.094431782	0.064646965	0.304092205	0.129175221	0.209469919
Ctsb	23.50332702	46.13319501	0	32.45238529	2.957211822	3.971514763	3.297957803	0	0	2.509290764	4.394366037	2.152464224	3.308060722	2.781590942	4.6504735
Trbc2	0.140887803	0.165586636	0.182378464	0.211194098	0.277805055	0.281364108	0.272848379	0.16735562	0.187704324	15.8158435	9.402213846	0	0.352278017	0.434644756	1.049291953
Snx5	4.07074613	3.500307241	0	0	1.453254322	1.726985264	0.794121406	6.033029476	0	1.078734731	1.597409062	1.250170783	0	1.026113854	1.381901005
Ly86	7.916483708	14.4189002	0	14.38388768	1.266841109	3.740884584	1.60905427	0	0	0.185734024	0.239037092	0.217434775	3.66017109	0.310897565	1.323228587
Lamp1	6.752760731	8.565784363	0	6.414716619	0.712105813	1.714906975	0	2.052888128	6.065312156	0.990950675	0.939401229	1.010261657	1.372853781	0.564042157	1.543226441
Tmem119	3.039886692	4.948721425	2.928249805	5.060315091	0.182793586	0.270238375	0.2270477	0.221502488	1.081677129	0.135262353	0.129639594	0.124182177	0.324307718	0.194092209	0.438313825
AA467197	9.017231258	2.688811174	0	1.842066477	1.618220738	12.58105574	10.2964422	1.779688067	11.76569543	2.263867029	1.469903259	2.298413441	1.480461486	0.702449412	1.213364509
Zeb2	2.837792582	2.706273738	0	0	0.140747881	0.855169719	0.333979263	1.346046519	4.436031477	0.235289668	0.203098204	0.4818317	1.08145953	0.159723657	1.306741853
Rpsa	15.91142408	15.35416764	18.34962815	17.58258289	0	0	0	16.83131002	14.66016373	43.05381462	38.40283015	36.52495739	39.86446923	12.26941117	18.41745912
Dpep2	0.81510183	0.068410945	0	0.058019408	0.067771359	0.136514836	0.030129354	0.021212578	1.348463613	0.038665794	0.026883188	0.011924619	0.131427901	0.030549014	0.037875622
Cd3d	0.116029479	0.125558881	0.150271193	0.138221527	0.213055651	0.158551852	0.257460741	0.115538598	0.139377827	11.45297705	10.18830124	1.302747416	0.204696817	0.315009689	0.861306884
P2ry6	1.90527249	1.892642558	1.539026328	1.706336338	0.743440117	0.612227077	0.094804917	0.323598565	1.554572694	0.076814029	0.079867718	0.077192574	0.229962168	0.106487363	0.259114769
Ifitm2	4.855026483	1.814157283	0	1.531380042	2.559279984	9.99987489	0	0.53524979	10.5439082	2.077788688	1.616070261	0.931565218	0.837595632	0.414439902	14.51314599
Spi1	4.607271372	0	4.654241968	0	0	6.237720047	0	0.744507556	6.25345218	0.178319554	0.245538154	0.191894221	1.330343173	0.437324136	1.290305848
Cx3cr1	5.390236255	8.770924385	6.320865797	10.27953555	0.390391651	0.618506719	0.245727642	0.26054941	2.373776963	0.456210398	0.552183725	0.237154258	0.658651212	0.409804566	1.737451619
Ndufa4	1.026150339	0	1.210156935	3.565861278	3.39370725	1.534757997	1.342074649	3.696182824	0	3.335833308	4.178162026	4.078064914	0	5.576440143	4.262871417
Lrrc25	1.443782114	0	1.245045792	0	0.576016632	0.532897901	0.112692007	0.060383725	1.943225928	0.044679834	0.062276483	0.038476798	0.169598468	0.055372291	0.185860497
Cst7	0.331516765	7.209737533	0.327917004	5.023528801	0.200144474	0.331652502	0.288316183	0.23233829	0.35686614	0	2.472328454	3.340619341	0.220025046	0.213116468	3.151667506
Gimap6	0.056791565	0.07058894	0.067774722	0.096057085	0.102771157	0.087095278	0.109200195	0.494057928	0.078314261	3.177459631	4.208467704	3.656809165	3.75195659	0	0.446000989
Cd68	4.925921381	8.001263131	0	5.4501491	0.888086796	1.519590684	0.376438585	2.040555525	5.237254709	0.291234082	0.303303123	0.296689365	0.504380918	0.313839677	0.870954825
Lpcat2	2.537917278	3.857390512	2.259565915	3.440924991	0.537746107	0.890929392	0.156651599	0.104458245	0	0.115677829	0.125680539	0.099008719	0.290606357	0.159030248	1.031874584
Ctsw	0.072452563	0.07066507	0.087863757	0.090261432	0.122503764	0.137309989	0.129017806	0.956844564	0.092455128	5.660849774	2.132794201	8.343749248	0.215504502	0.213740861	0.256481458
Clec12a	1.758471468	0.266425531	1.73041778	0.236514603	1.573884673	0	0.42194891	1.914589887	2.171960222	0.115536084	0.066993382	0.060383922	0.247448207	0.096731575	0.185529617
Dok3	1.003522753	0.387028715	0.946977281	0	0.177144064	0	0.058162279	0.040501205	1.064204653	0.048127236	0.046425124	0.041934299	1.058637285	0.318378752	0
Csf1r	4.163008484	7.298992453	0	7.305687007	0.336416424	0.882629063	0.295980323	0.237882802	0	0.24737166	0.266411879	0.234075918	0.537545298	0.357310688	0.578778112
Sdc4	1.368821467	0.555554827	1.25627945	0.431354825	0.085524709	0.304205417	0.378216235	2.933764692	1.134259608	0.047240663	0.231484187	0.057065707	0.553490083	0.417785225	0.174464528
Axl	2.460602963	2.594058798	2.502403278	2.317866467	0.807392266	0	0.574626185	0.24862285	0	0.205211144	0.426689117	0.136909673	0.356433944	0.164160581	0.323998092
Cd3g	0.103892498	0.114730061	0.139224822	0.136562384	0.257703963	0.176643167	0.207971045	0.118522553	0.118015869	15.96520543	11.18735247	1.658111469	0.221856417	0.367231868	1.222976003
Spint2	0.024833734	0.024306332	0.033189135	0.02765637	1.158963664	1.160315627	3.750209365	2.371074307	0.027005754	0.661940973	1.289631811	0.658363526	0	1.27197149	0.113421146
Thy1	0.07656121	0.084721685	0.090415486	0.100708621	0.12929932	0.110081545	0.177059296	0.102065612	0.066732632	6.362109046	4.051039774	3.314088989	0.119461147	0.186730758	0.342950559
Itgax	1.356000822	0	1.218651794	0.48916051	0	1.220171585	0.157761199	0.35744361	0.513783985	0.106505239	0.074894374	0	0.1545622	0.106483799	0.147989683
Grn	11.8492092	22.54461539	0	18.50999265	3.428055951	4.113242342	1.400236729	13.18152847	0	0.968324552	1.574850209	0.924348016	1.837705642	1.103999883	2.865893537
Klrd1	0.070447071	0.074659534	0.084206379	0.109438909	0.49184356	3.274205357	0.958855395	1.272339088	0.097471602	5.858088103	0.244184326	10.54169935	0.151820541	0.147805502	0.442870461
Bcl2a1a	3.409717331	0	3.268460446	0	0	3.554734424	9.631540645	0.191775828	0	0.197828727	0.160079487	0.133826288	0.518281916	0.206292051	0.406383
Mpeg1	4.480828827	6.187931868	0	4.488220412	4.144671953	0.979909163	0.587434606	6.940486325	0	0.256116169	0.295038448	0.235334783	1.108309451	0.376958457	0.654519208
Atp2b1	2.247891208	0	1.93020729	0	0.489194195	0.648310041	0	0.218970536	1.905651545	0.769103171	0	0.758933243	0.727310542	0.256802612	0.377057042
Il18bp	1.689473504	1.268419426	0	0	0.114374207	0.630360956	0	0.094769765	1.416215067	0.137137402	0.117315824	0.079820037	0.201381444	0.098947733	0.251046569
Trac	0.076110631	0.083560413	0.101946484	0.112950462	0.167493799	0.148050514	0.16946446	0.116741632	0.096422198	6.916732153	11.36330984	0.676816841	0.13964557	0.234766243	0.411088275
Ncf2	1.662847293	0	0	0	0.27145149	0	0.466392491	0.286877231	2.539420031	0.073251842	0.129550295	0.158578435	0.651179581	0.147775487	0.604373828
Cd14	2.263953957	2.373008213	0	0	0.114470289	0.279035388	0.10253496	0.131208786	3.876008359	0.077178906	0.092517276	0.072884587	0.275881768	0.102073579	0.280526309
Eif4ebp1	2.048206665	0	0	0	0.809665502	0.756466831	0.369842554	0.239748841	1.971128888	0.274259947	0.642682461	0.314551482	0.568500214	0.508868238	0
Akr1a1	7.435841911	7.768275815	0	0	0	0	0	3.38989583	0	2.286051016	2.580323105	2.09687411	2.171245456	1.397341433	2.684120009
Ctsa	3.464896512	5.021856078	0	3.398231472	0.40178316	1.577010573	0.372000108	0	0	0.612864661	0.679854569	0.550227798	0.671671543	0.326222697	0.838866026
Gsn	1.672095864	0.327634109	0	0.258983731	3.234601794	3.150686919	0.425092419	1.796177352	1.756058892	0.160711879	0.174855884	0.102141644	0.42510026	0.103050034	1.606597878
Luzp1	1.065813622	0	1.151893377	0	0.221770043	0.297353114	0.235476046	0.052344319	0	0.162357005	0.164857899	0.296767882	0.175013129	0.080308212	0.350838001
Ppfia4	2.237096452	2.121060999	1.948451088	1.948451077	0	0	0.166313781	2.211048527	0	0.081682002	0.110400688	0.070578046	0.32114862	0.149835371	0.245484969
Cd63	9.209274987	17.35972617	0	11.69894042	0.503608819	0.897666602	12.56380384	0.465825304	3.023677714	0.433001046	0.508088504	0.44546557	0.861856536	0.458769153	56.68281075
Trf	2.200010814	1.946490375	0	0	0.200221008	0.536911303	0.15343223	0	0	0.11357287	0.139138157	0.205348294	0.208791204	0.826068408	0.328253825
Rps15a	32.70519629	34.73853413	33.44915293	34.95752198	0	0	29.15407762	0	27.36173192	92.02445384	69.17309996	78.97572193	71.14682042	20.00711877	0
Tgfbr1	2.178250918	2.35082654	0	1.911681599	0.434194865	0.748006985	0.277016604	1.036882695	0	0.17472777	0.431185493	0.195510124	0.549701438	0.257335268	0
Hck	2.44401847	0	2.718793125	0	2.205822937	0	0.733507568	0	3.308680034	0.098828187	0.125588393	0.10550204	0.461006851	0.151819911	0.262019893
Rrbp1	6.353058651	7.659377786	0	6.896137416	3.342688854	2.985035517	1.680243993	0	0	1.035753832	1.438096252	1.335697162	1.355089935	3.451605512	2.583691077
Ninj1	2.462206457	0	0	1.086161463	0.365377577	0.599463649	0.502707627	0.928227182	3.182210234	0.272751849	0.493611696	0.297887284	0.418586256	0.408196789	0
Tep1	1.397812704	0	1.226147082	0	0	1.383429755	0.148545126	0	1.219258769	0.112771981	0.131417954	0.084951727	0.254584504	0.094872258	0.271927386
Cd2	0.059020787	0.06493223	0.080185857	0.075890901	0.140885806	0.117476283	0.128541087	0.094754671	0.077240394	3.934855252	12.41446407	1.838828458	0	0.268629262	0.362291032
Tmem176b	2.798486801	0.833440977	2.529942727	1.018506634	0.149094009	0	6.551062363	0.334394047	0	0.651507193	0.354896856	0.674132438	0.365276469	3.051099457	0.34906649
Slc29a3	1.345041431	0	0	0	0.276464377	0	0.44004517	1.572613954	1.402618232	0.115854246	0.100399001	0.09755752	0.420782632	0.152458006	0.198190383
Nkg7	0.226379919	0.262410965	0.302597823	0.373333625	0.501297392	0.396080295	0.347646572	0.482616486	0.245914177	23.5706862	10.32066063	26.71859413	0.368294311	0.668228011	1.668426042
Tmem37	1.418211698	0	1.072649751	0	0.064789018	0.107036038	0.055473167	0.032949368	1.381917546	0.084542105	0.041397529	0.368428888	0.141464154	0.084930552	0.19812025
Hexa	3.83892763	5.304822135	3.566016845	4.26403081	1.611577036	1.37286421	0.557707153	1.470970757	0	0.378757394	0.438586317	0.431619987	0.697591008	0.284185855	1.110187019
Rnf149	2.398905782	0	0	1.150060499	0.503635344	1.133469495	0.458296417	2.313494887	3.181185766	0.557846677	0.568665041	0.713639705	0.436026385	0.277006929	0.582542906
Cd3e	0.041210013	0.045739619	0.054357286	0.066637717	0.076114199	0.072204217	0.074595592	0.045491519	0.047922413	3.521320339	3.397379803	0.327451834	0.085606552	0.095574057	0.226487753
Pilra	1.229170997	1.145628467	1.14136335	1.199626465	0.063579287	0.304012005	0.060073596	0.101010114	1.486642959	0.039188801	0.053655244	0.038515536	0.165915129	0.058888322	0.513706249
Cstb	7.079526503	8.239285566	0	0	2.176057246	2.866372123	0	2.349516173	13.42388009	1.510706761	1.885500929	1.566259028	1.550729157	1.038829151	3.619083428
Sdcbp	4.810520217	5.111671123	0	0	2.026688986	2.831787808	1.033511106	1.883108495	6.885336469	1.166191622	1.767689041	1.775780354	1.284527361	0.587567248	0
Lat	0.065104508	0.074953304	0.081540106	0.101766394	0.123368016	0.103487894	0.122580755	0	0.069643189	4.274144472	4.571052822	0.775311054	0.094209907	0.179199345	4.705034264
